step time temperature strxx stryy strzz lx ly lz
0 0.000000 302.846711 -1.127957 -1.131040 -1.114799 31.500000 31.500000 31.500000 
100 0.010000 296.161440 -1.027567 -1.030616 -1.015187 31.697806 31.698778 31.693662 
200 0.020000 277.228294 -1.018950 -1.022188 -1.008987 31.865034 31.866976 31.856943 
300 0.030000 247.389572 -1.064730 -1.068477 -1.059513 32.030397 32.033382 32.019091 
400 0.040000 210.294249 -1.128400 -1.132598 -1.130009 32.211283 32.215484 32.198242 
500 0.050000 174.039928 -1.165046 -1.169220 -1.172679 32.413698 32.419279 32.401094 
600 0.060000 147.299200 -1.143886 -1.148231 -1.154071 32.629264 32.636235 32.619049 
700 0.070000 132.700517 -1.073022 -1.077959 -1.082715 32.839360 32.847793 32.832401 
800 0.080000 127.214371 -0.982251 -0.987158 -0.989469 33.027537 33.037640 33.023720 
900 0.090000 126.434644 -0.895465 -0.899577 -0.899583 33.186812 33.198586 33.185361 
1000 0.100000 127.036224 -0.823613 -0.826829 -0.825458 33.318055 33.331240 33.317964 
1100 0.110000 127.194565 -0.768968 -0.771362 -0.770343 33.425876 33.440176 33.426400 
1200 0.120000 126.268801 -0.729489 -0.730843 -0.732251 33.515781 33.530920 33.516766 
1300 0.130000 124.350771 -0.701515 -0.701424 -0.706695 33.592696 33.608323 33.594609 
1400 0.140000 121.895270 -0.681045 -0.679316 -0.688556 33.660390 33.676019 33.664048 
1500 0.150000 119.333385 -0.664868 -0.662017 -0.673802 33.721331 33.736405 33.727523 
1600 0.160000 116.977749 -0.650565 -0.647964 -0.660043 33.776927 33.791064 33.786142 
1700 0.170000 115.155365 -0.636181 -0.635250 -0.645934 33.827783 33.841063 33.840215 
1800 0.180000 113.876414 -0.621832 -0.623223 -0.631463 33.873850 33.886833 33.889599 
1900 0.190000 112.883419 -0.608962 -0.612159 -0.617564 33.915119 33.928589 33.934151 
2000 0.200000 112.017367 -0.598061 -0.601643 -0.605351 33.952074 33.966643 33.974046 
2100 0.210000 111.223497 -0.588761 -0.591235 -0.595567 33.985368 34.001168 34.009838 
2200 0.220000 110.469671 -0.580659 -0.581025 -0.588229 34.015533 34.032189 34.042340 
2300 0.230000 109.735815 -0.573727 -0.571189 -0.582813 34.042970 34.059763 34.072375 
2400 0.240000 109.024926 -0.568118 -0.561794 -0.578523 34.068069 34.084010 34.100591 
2500 0.250000 108.372288 -0.563684 -0.553012 -0.574457 34.091275 34.105072 34.127368 
2600 0.260000 107.817701 -0.559998 -0.545250 -0.569834 34.112986 34.123152 34.152778 
2700 0.270000 107.336547 -0.556775 -0.539077 -0.564428 34.133453 34.138593 34.176628 
2800 0.280000 106.826269 -0.553908 -0.534948 -0.558804 34.152832 34.151933 34.198648 
2900 0.290000 106.194206 -0.551145 -0.532877 -0.553912 34.171243 34.163868 34.218758 
3000 0.300000 105.433096 -0.548005 -0.532330 -0.550443 34.188720 34.175100 34.237206 
3100 0.310000 104.638642 -0.544031 -0.532344 -0.548351 34.205133 34.186149 34.254476 
3200 0.320000 103.963083 -0.539143 -0.531873 -0.546872 34.220193 34.197206 34.271039 
