step time temperature strxx stryy strzz lx ly lz
0 0.000000 302.846711 -1.127957 -1.131040 -1.114799 31.500000 31.500000 31.500000 
100 0.010000 295.358784 -1.162680 -1.165748 -1.150244 31.506231 31.506261 31.506100 
200 0.020000 272.782399 -1.269921 -1.273243 -1.260350 31.519040 31.519131 31.518655 
300 0.030000 235.639840 -1.441803 -1.445786 -1.438356 31.539497 31.539683 31.538764 
400 0.040000 189.478774 -1.644710 -1.649263 -1.650127 31.569323 31.569643 31.568207 
500 0.050000 148.159624 -1.806918 -1.811551 -1.819400 31.610558 31.611056 31.609112 
600 0.060000 124.864299 -1.863048 -1.868135 -1.877355 31.664850 31.665573 31.663202 
700 0.070000 120.136136 -1.812172 -1.817453 -1.823618 31.732809 31.733808 31.731102 
800 0.080000 125.416102 -1.699699 -1.703801 -1.705888 31.813982 31.815309 31.812331 
900 0.090000 132.272305 -1.570335 -1.572205 -1.571818 31.907296 31.908992 31.905765 
1000 0.100000 136.281254 -1.448663 -1.447904 -1.448049 32.011507 32.013592 32.010112 
1100 0.110000 136.557624 -1.341439 -1.338395 -1.341568 32.125440 32.127904 32.124175 
1200 0.120000 134.059228 -1.246120 -1.241945 -1.248571 32.248057 32.250868 32.246924 
1300 0.130000 130.159489 -1.158004 -1.154277 -1.162482 32.378434 32.381548 32.377458 
1400 0.140000 126.063956 -1.072962 -1.071188 -1.078237 32.515710 32.519087 32.514938 
1500 0.150000 122.427962 -0.989066 -0.990287 -0.994424 32.659043 32.662665 32.658532 
1600 0.160000 119.182015 -0.907737 -0.911650 -0.912853 32.807594 32.811472 32.807400 
1700 0.170000 116.243649 -0.830463 -0.835103 -0.835311 32.960534 32.964710 32.960712 
1800 0.180000 113.625467 -0.757663 -0.760981 -0.762635 33.117064 33.121589 33.117668 
1900 0.190000 111.260732 -0.689497 -0.690663 -0.695148 33.276421 33.281330 33.277505 
2000 0.200000 109.062977 -0.626305 -0.625207 -0.632971 33.437876 33.443182 33.439503 
2100 0.210000 106.993230 -0.568398 -0.564832 -0.575989 33.600744 33.606434 33.602987 
2200 0.220000 105.047501 -0.515736 -0.509511 -0.523878 33.764385 33.770419 33.767330 
2300 0.230000 103.208085 -0.468078 -0.459343 -0.476262 33.928205 33.934511 33.931945 
2400 0.240000 101.440292 -0.425147 -0.414474 -0.432830 34.091657 34.098136 34.096287 
2500 0.250000 99.747897 -0.386402 -0.374696 -0.393174 34.254239 34.260766 34.259848 
2600 0.260000 98.202106 -0.351057 -0.339387 -0.356873 34.415487 34.421926 34.422155 
2700 0.270000 96.870085 -0.318487 -0.307825 -0.323607 34.574971 34.581183 34.582767 
2800 0.280000 95.767432 -0.288467 -0.279401 -0.293175 34.732284 34.738143 34.741270 
2900 0.290000 94.878524 -0.260934 -0.253660 -0.265386 34.887045 34.892440 34.897277 
3000 0.300000 94.166585 -0.235851 -0.230334 -0.240122 35.038894 35.043739 35.050429 
3100 0.310000 93.571945 -0.213165 -0.209263 -0.217405 35.187498 35.191725 35.200389 
3200 0.320000 93.019557 -0.192831 -0.190322 -0.197334 35.332550 35.336111 35.346850 
3300 0.330000 92.456096 -0.174811 -0.173343 -0.179894 35.473765 35.476629 35.489532 
3400 0.340000 91.864987 -0.158987 -0.158114 -0.164831 35.610885 35.613034 35.628186 
3500 0.350000 91.261966 -0.145141 -0.144429 -0.151724 35.743679 35.745102 35.762589 
3600 0.360000 90.657371 -0.133030 -0.132184 -0.140194 35.871936 35.872625 35.892542 
3700 0.370000 90.029413 -0.122481 -0.121424 -0.130054 35.995469 35.995412 36.017865 
3800 0.380000 89.336708 -0.113400 -0.112213 -0.121248 36.114107 36.113290 36.138395 
3900 0.390000 88.542810 -0.105698 -0.104522 -0.113737 36.227699 36.226108 36.253985 
4000 0.400000 87.636162 -0.099281 -0.098212 -0.107438 36.336114 36.333732 36.364506 
4100 0.410000 86.636785 -0.093993 -0.093044 -0.102180 36.439233 36.436046 36.469844 
4200 0.420000 85.590144 -0.089603 -0.088718 -0.097727 36.536957 36.532952 36.569900 
4300 0.430000 84.564002 -0.085818 -0.084917 -0.093810 36.629199 36.624363 36.664587 
4400 0.440000 83.630816 -0.082348 -0.081342 -0.090160 36.715879 36.710200 36.753825 
4500 0.450000 82.837888 -0.079033 -0.077813 -0.086572 36.796923 36.790386 36.837538 
4600 0.460000 82.187637 -0.075868 -0.074328 -0.082965 36.872263 36.864850 36.915655 
4700 0.470000 81.641706 -0.072958 -0.071026 -0.079397 36.941830 36.933520 36.988103 
4800 0.480000 81.147650 -0.070400 -0.068090 -0.076019 37.005564 36.996329 37.054812 
4900 0.490000 80.666567 -0.068229 -0.065647 -0.072989 37.063408 37.053215 37.115717 
5000 0.500000 80.186318 -0.066418 -0.063720 -0.070390 37.115314 37.104125 37.170758 
5100 0.510000 79.716557 -0.064911 -0.062250 -0.068239 37.161241 37.149017 37.219882 
5200 0.520000 79.278139 -0.063659 -0.061148 -0.066498 37.201151 37.187854 37.263046 
5300 0.530000 78.890172 -0.062635 -0.060340 -0.065116 37.235015 37.220608 37.300212 
5400 0.540000 78.558295 -0.061860 -0.059821 -0.064062 37.262807 37.247255 37.331352 
5500 0.550000 78.271499 -0.061421 -0.059646 -0.063330 37.284507 37.267780 37.356441 
5600 0.560000 78.010119 -0.061427 -0.059897 -0.062945 37.300100 37.282170 37.375462 
5700 0.570000 77.758669 -0.061952 -0.060654 -0.062942 37.309583 37.290426 37.388405 
5800 0.580000 77.514038 -0.063000 -0.061974 -0.063356 37.312958 37.292552 37.395268 
5900 0.590000 77.286582 -0.064517 -0.063873 -0.064202 37.310239 37.288567 37.396055 
6000 0.600000 77.095517 -0.066424 -0.066337 -0.065488 37.301447 37.278497 37.390779 
6100 0.610000 76.960549 -0.068663 -0.069337 -0.067227 37.286612 37.262378 37.379461 
6200 0.620000 76.893967 -0.071217 -0.072840 -0.069453 37.265769 37.240257 37.362130 
6300 0.630000 76.899856 -0.074137 -0.076820 -0.072222 37.238960 37.212188 37.338824 
6400 0.640000 76.980910 -0.077493 -0.081250 -0.075584 37.206233 37.178236 37.309590 
6500 0.650000 77.143446 -0.081352 -0.086109 -0.079576 37.167646 37.138470 37.274485 
6600 0.660000 77.394615 -0.085760 -0.091409 -0.084228 37.123264 37.092970 37.233577 
6700 0.670000 77.740126 -0.090744 -0.097201 -0.089568 37.073161 37.041823 37.186943 
6800 0.680000 78.188609 -0.096333 -0.103543 -0.095615 37.017420 36.985123 37.134673 
6900 0.690000 78.755373 -0.102569 -0.110452 -0.102347 36.956135 36.922972 37.076867 
7000 0.700000 79.458335 -0.109545 -0.117924 -0.109718 36.889409 36.855484 37.013635 
7100 0.710000 80.311205 -0.117384 -0.125998 -0.117646 36.817357 36.782780 36.945097 
7200 0.720000 81.323802 -0.126240 -0.134749 -0.126044 36.740106 36.704987 36.871380 
7300 0.730000 82.502227 -0.136220 -0.144285 -0.134890 36.657796 36.622247 36.792621 
7400 0.740000 83.843672 -0.147375 -0.154716 -0.144321 36.570584 36.534710 36.708960 
7500 0.750000 85.338413 -0.159677 -0.166145 -0.154640 36.478643 36.442537 36.620547 
7600 0.760000 86.982628 -0.173060 -0.178621 -0.166197 36.382161 36.345904 36.527543 
7700 0.770000 88.785894 -0.187425 -0.192157 -0.179308 36.281338 36.245000 36.430124 
7800 0.780000 90.764997 -0.202712 -0.206749 -0.194209 36.176387 36.140027 36.328489 
7900 0.790000 92.932895 -0.218938 -0.222453 -0.211033 36.067534 36.031201 36.222856 
8000 0.800000 95.292916 -0.236255 -0.239400 -0.229801 35.955012 35.918748 36.113467 
8100 0.810000 97.851472 -0.254881 -0.257768 -0.250417 35.839069 35.802911 36.000589 
8200 0.820000 100.629330 -0.275013 -0.277685 -0.272677 35.719966 35.683949 35.884508 
8300 0.830000 103.656487 -0.296819 -0.299273 -0.296347 35.597983 35.562138 35.765530 
8400 0.840000 106.948142 -0.320443 -0.322681 -0.321279 35.473415 35.437771 35.643974 
8500 0.850000 110.491860 -0.346038 -0.348124 -0.347517 35.346580 35.311162 35.520171 
8600 0.860000 114.259932 -0.373741 -0.375835 -0.375234 35.217813 35.182645 35.394464 
8700 0.870000 118.230623 -0.403657 -0.406002 -0.404584 35.087474 35.052582 35.267212 
8800 0.880000 122.393694 -0.435910 -0.438712 -0.435663 34.955944 34.921355 35.138787 
8900 0.890000 126.725015 -0.470765 -0.474015 -0.468590 34.823627 34.789375 35.009576 
9000 0.900000 131.171500 -0.508537 -0.512000 -0.503575 34.690955 34.657079 34.879984 
9100 0.910000 135.693385 -0.549282 -0.552665 -0.540941 34.558385 34.524927 34.750435 
9200 0.920000 140.322564 -0.592564 -0.595542 -0.581046 34.426407 34.393408 34.621375 
9300 0.930000 145.169124 -0.637570 -0.639711 -0.623946 34.295531 34.263028 34.493275 
9400 0.940000 150.337457 -0.683543 -0.684615 -0.669037 34.166281 34.134301 34.366631 
9500 0.950000 155.813688 -0.730324 -0.730360 -0.715498 34.039185 34.007741 34.241958 
9600 0.960000 161.421076 -0.778596 -0.777330 -0.763135 33.914770 33.883867 34.119780 
9700 0.970000 166.907285 -0.829110 -0.826180 -0.812215 33.793576 33.763201 34.000626 
9800 0.980000 172.184425 -0.881293 -0.877548 -0.862420 33.676160 33.646284 33.885034 
9900 0.990000 177.288824 -0.933861 -0.931350 -0.913178 33.563091 33.533674 33.773549 
10000 1.000000 182.204638 -0.986087 -0.986601 -0.964514 33.454936 33.425954 33.666714 
10100 1.010000 186.801713 -1.037947 -1.042264 -1.016989 33.352251 33.323715 33.565073 
10200 1.020000 190.819458 -1.090216 -1.097791 -1.071324 33.255583 33.227546 33.469178 
10300 1.030000 194.156384 -1.143294 -1.152613 -1.126636 33.165479 33.138031 33.379597 
10400 1.040000 197.117601 -1.196250 -1.205158 -1.179029 33.082491 33.055741 33.296902 
10500 1.050000 200.014247 -1.247074 -1.253151 -1.225916 33.007166 32.981218 33.221633 
10600 1.060000 202.955931 -1.292266 -1.295114 -1.267673 32.940026 32.914954 33.154267 
10700 1.070000 206.260321 -1.327154 -1.330132 -1.302904 32.881533 32.857374 33.095224 
10800 1.080000 210.063316 -1.350127 -1.357129 -1.330041 32.832034 32.808827 33.044855 
10900 1.090000 214.002659 -1.363619 -1.375618 -1.349832 32.791751 32.769579 33.003427 
11000 1.100000 217.664007 -1.370185 -1.386659 -1.362971 32.760809 32.739808 32.971132 
11100 1.110000 220.640112 -1.372113 -1.393186 -1.369114 32.739260 32.719614 32.948092 
11200 1.120000 222.595506 -1.371316 -1.397397 -1.368479 32.727113 32.709055 32.934363 
11300 1.130000 223.578766 -1.367907 -1.397974 -1.361954 32.724353 32.708168 32.929930 
11400 1.140000 224.053886 -1.360681 -1.391285 -1.349051 32.730940 32.716958 32.934724 
11500 1.150000 224.176193 -1.349933 -1.376436 -1.329191 32.746801 32.735356 32.948609 
11600 1.160000 223.835936 -1.335587 -1.354944 -1.303483 32.771830 32.763211 32.971384 
11700 1.170000 223.157969 -1.315352 -1.326982 -1.274017 32.805885 32.800303 33.002785 
11800 1.180000 222.450318 -1.287298 -1.292031 -1.241289 32.848766 32.846349 33.042515 
11900 1.190000 222.052609 -1.251379 -1.249783 -1.203820 32.900192 32.900992 33.090244 
12000 1.200000 222.005073 -1.209494 -1.201225 -1.161031 32.959799 32.963797 33.145590 
12100 1.210000 221.983349 -1.163825 -1.149226 -1.114820 33.027157 33.034263 33.208119 
12200 1.220000 221.626907 -1.115604 -1.096631 -1.068262 33.101797 33.111850 33.277356 
12300 1.230000 220.783189 -1.065649 -1.044880 -1.023287 33.183221 33.196008 33.352821 
12400 1.240000 219.574657 -1.014973 -0.993812 -0.979586 33.270907 33.286197 33.434050 
12500 1.250000 218.276750 -0.964309 -0.942567 -0.935797 33.364325 33.381880 33.520591 
12600 1.260000 217.078171 -0.913569 -0.891068 -0.891551 33.462938 33.482512 33.611986 
12700 1.270000 215.962482 -0.862476 -0.840310 -0.847919 33.566205 33.587542 33.707767 
12800 1.280000 214.799142 -0.811641 -0.791599 -0.806018 33.673576 33.696423 33.807471 
12900 1.290000 213.472488 -0.762322 -0.745973 -0.765890 33.784498 33.808623 33.910647 
13000 1.300000 211.973879 -0.715483 -0.704086 -0.726768 33.898426 33.923642 34.016860 
13100 1.310000 210.382384 -0.671500 -0.665956 -0.687895 34.014842 34.041014 34.125681 
13200 1.320000 208.819387 -0.630398 -0.630866 -0.648819 34.133250 34.160312 34.236678 
13300 1.330000 207.428999 -0.591960 -0.597746 -0.609557 34.253182 34.281140 34.349410 
13400 1.340000 206.261510 -0.555862 -0.565880 -0.570864 34.374198 34.403117 34.463428 
