step time dx dv
0 0.000000 0.024000 0.000000
100 0.050000 0.023374 -0.025195
200 0.100000 0.021513 -0.049199
300 0.150000 0.018505 -0.070835
400 0.200000 0.014497 -0.088983
500 0.250000 0.009690 -0.102625
600 0.300000 0.004330 -0.110891
700 0.350000 -0.001296 -0.113132
800 0.400000 -0.006877 -0.108984
900 0.450000 -0.012091 -0.098446
1000 0.500000 -0.016628 -0.081928
1100 0.550000 -0.020208 -0.060276
1200 0.600000 -0.022603 -0.034753
1300 0.650000 -0.023659 -0.006953
1400 0.700000 -0.023304 0.021321
1500 0.750000 -0.021563 0.048220
1600 0.800000 -0.018547 0.072023
1700 0.850000 -0.014448 0.091278
1800 0.900000 -0.009521 0.104919
1900 0.950000 -0.004066 0.112306
2000 1.000000 0.001600 0.113234
2100 1.050000 0.007154 0.107889
2200 1.100000 0.012296 0.096782
2300 1.150000 0.016756 0.080682
2400 1.200000 0.020306 0.060539
2500 1.250000 0.022771 0.037434
2600 1.300000 0.024031 0.012522
2700 1.350000 0.024026 -0.012997
2800 1.400000 0.022754 -0.037911
2900 1.450000 0.020277 -0.061018
3000 1.500000 0.016713 -0.081160
3100 1.550000 0.012238 -0.097254
3200 1.600000 0.007078 -0.108344
3300 1.650000 0.001504 -0.113656
3400 1.700000 -0.004182 -0.112672
3500 1.750000 -0.009657 -0.105201
3600 1.800000 -0.014602 -0.091443
3700 1.850000 -0.018715 -0.072035
3800 1.900000 -0.021740 -0.048049
3900 1.950000 -0.023481 -0.020940
4000 2.000000 -0.023824 0.007556
4100 2.050000 -0.022747 0.035576
4200 2.100000 -0.020319 0.061298
4300 2.150000 -0.016695 0.083109
4400 2.200000 -0.012104 0.099734
4500 2.250000 -0.006829 0.110315
4600 2.300000 -0.001184 0.114435
4700 2.350000 0.004506 0.112097
4800 2.400000 0.009927 0.103667
4900 2.450000 0.014788 0.089803
5000 2.500000 0.018839 0.071381
5100 2.550000 0.021877 0.049432
5200 2.600000 0.023754 0.025088
5300 2.650000 0.024378 -0.000464
5400 2.700000 0.023720 -0.026006
5500 2.750000 0.021811 -0.050321
5600 2.800000 0.018740 -0.072218
5700 2.850000 0.014658 -0.090566
5800 2.900000 0.009768 -0.104332
5900 2.950000 0.004321 -0.112636
6000 3.000000 -0.001391 -0.114819
6100 3.050000 -0.007053 -0.110514
6200 3.100000 -0.012338 -0.099722
6300 3.150000 -0.016930 -0.082861
6400 3.200000 -0.020547 -0.060799
6500 3.250000 -0.022957 -0.034823
6600 3.300000 -0.024004 -0.006559
6700 3.350000 -0.023619 0.022153
6800 3.400000 -0.021827 0.049434
6900 3.450000 -0.018742 0.073535
7000 3.500000 -0.014562 0.092987
7100 3.550000 -0.009547 0.106715
7200 3.600000 -0.004002 0.114081
7300 3.650000 0.001749 0.114888
7400 3.700000 0.007382 0.109337
7500 3.750000 0.012590 0.097956
7600 3.800000 0.017100 0.081530
7700 3.850000 0.020684 0.061030
7800 3.900000 0.023164 0.037550
7900 3.950000 0.024421 0.012263
8000 4.000000 0.024394 -0.013617
8100 4.050000 0.023083 -0.038865
8200 4.100000 0.020550 -0.062264
8300 4.150000 0.016918 -0.082643
8400 4.200000 0.012364 -0.098907
8500 4.250000 0.007119 -0.110085
8600 4.300000 0.001457 -0.115395
8700 4.350000 -0.004313 -0.114309
8800 4.400000 -0.009866 -0.106636
8900 4.450000 -0.014875 -0.092582
9000 4.500000 -0.019037 -0.072798
9100 4.550000 -0.022089 -0.048376
9200 4.600000 -0.023835 -0.020804
9300 4.650000 -0.024160 0.008151
9400 4.700000 -0.023043 0.036589
9500 4.750000 -0.020554 0.062659
9600 4.800000 -0.016856 0.084726
9700 4.850000 -0.012180 0.101499
9800 4.900000 -0.006815 0.112118
9900 4.950000 -0.001081 0.116172
10000 5.000000 0.004692 0.113674
10100 5.050000 0.010186 0.105005
10200 5.100000 0.015107 0.090842
10300 5.150000 0.019201 0.072078
10400 5.200000 0.022265 0.049762
10500 5.250000 0.024149 0.025040
10600 5.300000 0.024762 -0.000883
10700 5.350000 0.024074 -0.026777
10800 5.400000 0.022118 -0.051411
10900 5.450000 0.018986 -0.073580
11000 5.500000 0.014830 -0.092138
11100 5.550000 0.009858 -0.106040
11200 5.600000 0.004325 -0.114394
11300 5.650000 -0.001475 -0.116532
11400 5.700000 -0.007219 -0.112082
11500 5.750000 -0.012577 -0.101044
11600 5.800000 -0.017228 -0.083849
11700 5.850000 -0.020884 -0.061379
11800 5.900000 -0.023312 -0.034948
11900 5.950000 -0.024354 -0.006217
12000 6.000000 -0.023941 0.022942
12100 6.050000 -0.022099 0.050615
12200 6.100000 -0.018947 0.075026
12300 6.150000 -0.014687 0.094687
12400 6.200000 -0.009584 0.108515
12500 6.250000 -0.003948 0.115872
12600 6.300000 0.001890 0.116570
12700 6.350000 0.007602 0.110821
12800 6.400000 0.012878 0.099173
12900 6.450000 0.017441 0.082427
13000 6.500000 0.021062 0.061572
13100 6.550000 0.023560 0.037718
13200 6.600000 0.024815 0.012053
13300 6.650000 0.024768 -0.014193
13400 6.700000 0.023420 -0.039781
13500 6.750000 0.020834 -0.063482
13600 6.800000 0.017134 -0.084109
13700 6.850000 0.012502 -0.100554
13800 6.900000 0.007172 -0.111833
13900 6.950000 0.001423 -0.117153
14000 7.000000 -0.004434 -0.115979
14100 7.050000 -0.010066 -0.108116
14200 7.100000 -0.015143 -0.093774
14300 7.150000 -0.019355 -0.073618
14400 7.200000 -0.022437 -0.048763
14500 7.250000 -0.024191 -0.020724
14600 7.300000 -0.024501 0.008695
14700 7.350000 -0.023345 0.037561
14800 7.400000 -0.020799 0.063992
14900 7.450000 -0.017027 0.086326
15000 7.500000 -0.012267 0.103262
15100 7.550000 -0.006812 0.113932
15200 7.600000 -0.000989 0.117931
15300 7.650000 0.004870 0.115283
15400 7.700000 0.010438 0.106384
15500 7.750000 0.015421 0.091928
15600 7.800000 0.019562 0.072827
15700 7.850000 0.022654 0.050145
15800 7.900000 0.024548 0.025045
15900 7.950000 0.025152 -0.001253
16000 8.000000 0.024437 -0.027505
16100 8.050000 0.022436 -0.052465
16200 8.100000 0.019244 -0.074916
16300 8.150000 0.015016 -0.093697
16400 8.200000 0.009961 -0.107748
16500 8.250000 0.004340 -0.116167
16600 8.300000 -0.001547 -0.118273
16700 8.350000 -0.007376 -0.113690
16800 8.400000 -0.012809 -0.102417
16900 8.450000 -0.017520 -0.084894
17000 8.500000 -0.021219 -0.062020
17100 8.550000 -0.023668 -0.035135
17200 8.600000 -0.024707 -0.005931
17300 8.650000 -0.024269 0.023682
17400 8.700000 -0.022379 0.051759
17500 8.750000 -0.019162 0.076492
17600 8.800000 -0.014822 0.096378
17700 8.850000 -0.009632 0.110319
17800 8.900000 -0.003906 0.117680
17900 8.950000 0.002021 0.118279
18000 9.000000 0.007814 0.112344
18100 9.050000 0.013160 0.100436
18200 9.100000 0.017779 0.083376
18300 9.150000 0.021438 0.062168
18400 9.200000 0.023957 0.037940
18500 9.250000 0.025215 0.011896
18600 9.300000 0.025150 -0.014721
18700 9.350000 0.023767 -0.040656
18800 9.400000 0.021129 -0.064668
18900 9.450000 0.017364 -0.085554
19000 9.500000 0.012654 -0.102193
19100 9.550000 0.007239 -0.113589
19200 9.600000 0.001400 -0.118933
19300 9.650000 -0.004543 -0.117684
19400 9.700000 -0.010257 -0.109642
19500 9.750000 -0.015403 -0.095023
19600 9.800000 -0.019669 -0.074500
19700 9.850000 -0.022785 -0.049213
19800 9.900000 -0.024550 -0.020705
19900 9.950000 -0.024847 0.009185
20000 10.000000 -0.023656 0.038489
20100 10.050000 -0.021054 0.065292
20200 10.100000 -0.017209 0.087909
20300 10.150000 -0.012365 0.105021
20400 10.200000 -0.006821 0.115757
20500 10.250000 -0.000907 0.119713
20600 10.300000 0.005038 0.116927
20700 10.350000 0.010683 0.107808
20800 10.400000 0.015730 0.093066
20900 10.450000 0.019920 0.073631
21000 10.500000 0.023044 0.050585
21100 10.550000 0.024950 0.025106
21200 10.600000 0.025548 -0.001571
21300 10.650000 0.024808 -0.028186
21400 10.700000 0.022764 -0.053482
21500 10.750000 0.019514 -0.076225
21600 10.800000 0.015214 -0.095240
21700 10.850000 0.010078 -0.109456
21800 10.900000 0.004370 -0.117953
21900 10.950000 -0.001607 -0.120042
22000 11.000000 -0.007522 -0.115339
22100 11.050000 -0.013032 -0.103843
22200 11.100000 -0.017807 -0.086000
22300 11.150000 -0.021551 -0.062726
22400 11.200000 -0.024025 -0.035387
22500 11.250000 -0.025065 -0.005707
22600 11.300000 -0.024604 0.024370
22700 11.350000 -0.022669 0.052861
22800 11.400000 -0.019388 0.077932
22900 11.450000 -0.014970 0.098055
23000 11.500000 -0.009692 0.112125
23100 11.550000 -0.003875 0.119505
23200 11.600000 0.002142 0.120019
23300 11.650000 0.008018 0.113907
23400 11.700000 0.013436 0.101748
23500 11.750000 0.018113 0.084380
23600 11.800000 0.021814 0.062823
23700 11.850000 0.024356 0.038222
23800 11.900000 0.025618 0.011797
23900 11.950000 0.025540 -0.015196
24000 12.000000 0.024124 -0.041486
24100 12.050000 0.021437 -0.065818
24200 12.100000 0.017606 -0.086977
24300 12.150000 0.012820 -0.103824
24400 12.200000 0.007320 -0.115350
24500 12.250000 0.001392 -0.120734
24600 12.300000 -0.004641 -0.119425
24700 12.350000 -0.010438 -0.111218
24800 12.400000 -0.015657 -0.096331
24900 12.450000 -0.019979 -0.075449
25000 12.500000 -0.023133 -0.049732
25100 12.550000 -0.024912 -0.020754
25200 12.600000 -0.025199 0.009614
25300 12.650000 -0.023976 0.039367
25400 12.700000 -0.021320 0.066556
25500 12.750000 -0.017404 0.089470
25600 12.800000 -0.012477 0.106774
25700 12.850000 -0.006842 0.117591
25800 12.900000 -0.000836 0.121520
25900 12.950000 0.005195 0.118607
26000 13.000000 0.010920 0.109278
26100 13.050000 0.016034 0.094258
26200 13.100000 0.020276 0.074495
26300 13.150000 0.023434 0.051087
26400 13.200000 0.025356 0.025229
26500 13.250000 0.025950 -0.001830
26600 13.300000 0.025188 -0.028816
26700 13.350000 0.023104 -0.054456
26800 13.400000 0.019797 -0.077502
26900 13.450000 0.015427 -0.096767
27000 13.500000 0.010210 -0.111161
27100 13.550000 0.004414 -0.119753
27200 13.600000 -0.001654 -0.121841
27300 13.650000 -0.007656 -0.117033
27400 13.700000 -0.013246 -0.105326
27500 13.750000 -0.018088 -0.087172
27600 13.800000 -0.021881 -0.063504
27700 13.850000 -0.024382 -0.035710
27800 13.900000 -0.025427 -0.005548
27900 13.950000 -0.024946 0.025000
28000 14.000000 -0.022969 0.053919
28100 14.050000 -0.019626 0.079341
28200 14.100000 -0.015131 0.099719
28300 14.150000 -0.009766 0.113934
28400 14.200000 -0.003857 0.121347
28500 14.250000 0.002251 0.121790
28600 14.300000 0.008212 0.115514
28700 14.350000 0.013704 0.103114
28800 14.400000 0.018443 0.085443
28900 14.450000 0.022188 0.063541
29000 14.500000 0.024757 0.038568
29100 14.550000 0.026027 0.011759
29200 14.600000 0.025937 -0.015614
29300 14.650000 0.024491 -0.042267
29400 14.700000 0.021757 -0.066930
29500 14.750000 0.017864 -0.088373
29600 14.800000 0.013002 -0.105443
29700 14.850000 0.007416 -0.117116
29800 14.900000 0.001399 -0.122557
29900 14.950000 -0.004725 -0.121203
30000 15.000000 -0.010607 -0.112846
30100 15.050000 -0.015902 -0.097702
30200 15.100000 -0.020285 -0.076470
30300 15.150000 -0.023479 -0.050326
30400 15.200000 -0.025276 -0.020874
30500 15.250000 -0.025558 0.009979
30600 15.300000 -0.024304 0.040191
30700 15.350000 -0.021597 0.067779
30800 15.400000 -0.017612 0.091007
30900 15.450000 -0.012602 0.108521
31000 15.500000 -0.006877 0.119435
31100 15.550000 -0.000779 0.123352
31200 15.600000 0.005342 0.120327
31300 15.650000 0.011148 0.110798
31400 15.700000 0.016332 0.095508
31500 15.750000 0.020628 0.075423
31600 15.800000 0.023824 0.051655
31700 15.850000 0.025765 0.025417
31800 15.900000 0.026359 -0.002028
31900 15.950000 0.025577 -0.029390
32000 16.000000 0.023456 -0.055383
32100 16.050000 0.020095 -0.078746
32200 16.100000 0.015656 -0.098273
32300 16.150000 0.010359 -0.112862
32400 16.200000 0.004474 -0.121566
32500 16.250000 -0.001685 -0.123670
32600 16.300000 -0.007777 -0.118773
32700 16.350000 -0.013450 -0.106869
32800 16.400000 -0.018362 -0.088415
32900 16.450000 -0.022208 -0.064357
33000 16.500000 -0.024741 -0.036110
33100 16.550000 -0.025794 -0.005463
33200 16.600000 -0.025296 0.025568
33300 16.650000 -0.023280 0.054926
33400 16.700000 -0.019877 0.080716
33500 16.750000 -0.015306 0.101366
33600 16.800000 -0.009854 0.115744
33700 16.850000 -0.003852 0.123207
33800 16.900000 0.002347 0.123594
33900 16.950000 0.008395 0.117167
34000 17.000000 0.013965 0.104535
34100 17.050000 0.018767 0.086570
34200 17.100000 0.022560 0.064327
34300 17.150000 0.025160 0.038983
34400 17.200000 0.026441 0.011789
34500 17.250000 0.026343 -0.015970
34600 17.300000 0.024870 -0.042994
34700 17.350000 0.022090 -0.068000
34800 17.400000 0.018136 -0.089741
34900 17.450000 0.013200 -0.107050
35000 17.500000 0.007530 -0.118886
35100 17.550000 0.001421 -0.124402
35200 17.600000 -0.004794 -0.123021
35300 17.650000 -0.010765 -0.114529
35400 17.700000 -0.016138 -0.099142
35500 17.750000 -0.020585 -0.077566
35600 17.800000 -0.023823 -0.051000
35700 17.850000 -0.025643 -0.021073
35800 17.900000 -0.025922 0.010272
35900 17.950000 -0.024642 0.040955
36000 18.000000 -0.021886 0.068959
36100 18.050000 -0.017833 0.092517
36200 18.100000 -0.012742 0.110258
36300 18.150000 -0.006927 0.121289
36400 18.200000 -0.000735 0.125210
36500 18.250000 0.005476 0.122087
36600 18.300000 0.011366 0.112371
36700 18.350000 0.016622 0.096821
36800 18.400000 0.020976 0.076418
36900 18.450000 0.024213 0.052295
37000 18.500000 0.026177 0.025676
37100 18.550000 0.026774 -0.002158
37200 18.600000 0.025977 -0.029904
37300 18.650000 0.023821 -0.056260
37400 18.700000 0.020407 -0.079951
37500 18.750000 0.015901 -0.099757
37600 18.800000 0.010524 -0.114557
37700 18.850000 0.004551 -0.123391
37800 18.900000 -0.001701 -0.125530
37900 18.950000 -0.007884 -0.120562
38000 19.000000 -0.013642 -0.108476
38100 19.050000 -0.018628 -0.089732
38200 19.100000 -0.022531 -0.065292
38300 19.150000 -0.025100 -0.036593
38400 19.200000 -0.026164 -0.005455
38500 19.250000 -0.025654 0.026066
38600 19.300000 -0.023602 0.055879
38700 19.350000 -0.020141 0.082054
38800 19.400000 -0.015496 0.102994
38900 19.450000 -0.009957 0.117553
39000 19.500000 -0.003863 0.125086
39100 19.550000 0.002429 0.125433
39200 19.600000 0.008566 0.118868
39300 19.650000 0.014216 0.106016
39400 19.700000 0.019085 0.087764
39500 19.750000 0.022930 0.065185
39600 19.800000 0.025564 0.039472
39700 19.850000 0.026860 0.011890
39800 19.900000 0.026757 -0.016259
39900 19.950000 0.025260 -0.043663
40000 20.000000 0.022438 -0.069022
40100 20.050000 0.018425 -0.091076
40200 20.100000 0.013415 -0.108640
40300 20.150000 0.007661 -0.120659
40400 20.200000 0.001461 -0.126268
40500 20.250000 -0.004848 -0.124880
40600 20.300000 -0.010909 -0.116269
40700 20.350000 -0.016364 -0.100653
40800 20.400000 -0.020879 -0.078745
40900 20.450000 -0.024166 -0.051759
41000 20.500000 -0.026012 -0.021356
41100 20.550000 -0.026293 0.010488
41200 20.600000 -0.024990 0.041654
41300 20.650000 -0.022188 0.070089
41400 20.700000 -0.018070 0.093997
41500 20.750000 -0.012898 0.111986
41600 20.800000 -0.006993 0.123151
41700 20.850000 -0.000707 0.127095
41800 20.900000 0.005597 0.123889
41900 20.950000 0.011574 0.113999
42000 21.000000 0.016905 0.098199
42100 21.050000 0.021321 0.077487
42200 21.100000 0.024602 0.053010
42300 21.150000 0.026592 0.026011
42400 21.200000 0.027197 -0.002215
42500 21.250000 0.026386 -0.030352
42600 21.300000 0.024199 -0.057082
42700 21.350000 0.020736 -0.081115
42800 21.400000 0.016164 -0.101214
42900 21.450000 0.010708 -0.116245
43000 21.500000 0.004646 -0.125229
