step time dx dv
0 0.000000 0.024000 0.000000
100 0.050000 0.023368 -0.025189
200 0.100000 0.021501 -0.049176
300 0.150000 0.018490 -0.070783
400 0.200000 0.014481 -0.088896
500 0.250000 0.009676 -0.102496
600 0.300000 0.004321 -0.110721
700 0.350000 -0.001296 -0.112925
800 0.400000 -0.006865 -0.108753
900 0.450000 -0.012065 -0.098206
1000 0.500000 -0.016586 -0.081702
1100 0.550000 -0.020150 -0.060092
1200 0.600000 -0.022531 -0.034638
1300 0.650000 -0.023576 -0.006934
1400 0.700000 -0.023217 0.021225
1500 0.750000 -0.021477 0.047998
1600 0.800000 -0.018469 0.071674
1700 0.850000 -0.014385 0.090815
1800 0.900000 -0.009481 0.104361
1900 0.950000 -0.004053 0.111685
2000 1.000000 0.001581 0.112584
2100 1.050000 0.007101 0.107247
2200 1.100000 0.012210 0.096187
2300 1.150000 0.016637 0.080168
2400 1.200000 0.020160 0.060140
2500 1.250000 0.022602 0.037176
2600 1.300000 0.023847 0.012427
2700 1.350000 0.023835 -0.012913
2800 1.400000 0.022566 -0.037638
2900 1.450000 0.020102 -0.060556
3000 1.500000 0.016560 -0.080517
3100 1.550000 0.012117 -0.096449
3200 1.600000 0.006998 -0.107406
3300 1.650000 0.001472 -0.112627
3400 1.700000 -0.004160 -0.111605
3500 1.750000 -0.009581 -0.104158
3600 1.800000 -0.014472 -0.090497
3700 1.850000 -0.018537 -0.071257
3800 1.900000 -0.021523 -0.047507
3900 1.950000 -0.023237 -0.020691
4000 2.000000 -0.023569 0.007476
4100 2.050000 -0.022497 0.035154
4200 2.100000 -0.020092 0.060549
4300 2.150000 -0.016507 0.082071
4400 2.200000 -0.011970 0.098467
4500 2.250000 -0.006760 0.108893
4600 2.300000 -0.001187 0.112942
4700 2.350000 0.004428 0.110618
4800 2.400000 0.009774 0.102283
4900 2.450000 0.014566 0.088587
5000 2.500000 0.018558 0.070397
5100 2.550000 0.021548 0.048733
5200 2.600000 0.023392 0.024712
5300 2.650000 0.024000 -0.000488
5400 2.700000 0.023343 -0.025666
5500 2.750000 0.021454 -0.049617
5600 2.800000 0.018422 -0.071168
5700 2.850000 0.014396 -0.089203
5800 2.900000 0.009577 -0.102708
5900 2.950000 0.004215 -0.110822
6000 3.000000 -0.001405 -0.112906
6100 3.050000 -0.006969 -0.108609
6200 3.100000 -0.012159 -0.097943
6300 3.150000 -0.016664 -0.081332
6400 3.200000 -0.020207 -0.059635
6500 3.250000 -0.022564 -0.034121
6600 3.300000 -0.023582 -0.006390
6700 3.350000 -0.023196 0.021759
6800 3.400000 -0.021430 0.048488
6900 3.450000 -0.018400 0.072089
7000 3.500000 -0.014298 0.091130
7100 3.550000 -0.009380 0.104562
7200 3.600000 -0.003945 0.111763
7300 3.650000 0.001689 0.112539
7400 3.700000 0.007204 0.107087
7500 3.750000 0.012302 0.095923
7600 3.800000 0.016714 0.079818
7700 3.850000 0.020217 0.059723
7800 3.900000 0.022638 0.036713
7900 3.950000 0.023859 0.011942
8000 4.000000 0.023823 -0.013398
8100 4.050000 0.022530 -0.038100
8200 4.100000 0.020043 -0.060972
8300 4.150000 0.016483 -0.080865
8400 4.200000 0.012024 -0.096710
8500 4.250000 0.006895 -0.107563
8600 4.300000 0.001364 -0.112667
8700 4.350000 -0.004267 -0.111522
8800 4.400000 -0.009681 -0.103953
8900 4.450000 -0.014559 -0.090176
9000 4.500000 -0.018606 -0.070839
9100 4.550000 -0.021568 -0.047016
9200 4.600000 -0.023257 -0.020156
9300 4.650000 -0.023562 0.008019
9400 4.700000 -0.022463 0.035670
9500 4.750000 -0.020033 0.061004
9600 4.800000 -0.016428 0.082438
9700 4.850000 -0.011876 0.098726
9800 4.900000 -0.006656 0.109032
9900 4.950000 -0.001079 0.112957
10000 5.000000 0.004534 0.110513
10100 5.050000 0.009872 0.102068
10200 5.100000 0.014651 0.088277
10300 5.150000 0.018625 0.070010
10400 5.200000 0.021595 0.048290
10500 5.250000 0.023415 0.024235
10600 5.300000 0.023999 -0.000976
10700 5.350000 0.023318 -0.026141
10800 5.400000 0.021406 -0.050058
10900 5.450000 0.018353 -0.071551
11000 5.500000 0.014310 -0.089508
11100 5.550000 0.009478 -0.102917
11200 5.600000 0.004108 -0.110921
11300 5.650000 -0.001513 -0.112884
11400 5.700000 -0.007074 -0.108464
11500 5.750000 -0.012253 -0.097678
11600 5.800000 -0.016742 -0.080959
11700 5.850000 -0.020264 -0.059175
11800 5.900000 -0.022597 -0.033604
11900 5.950000 -0.023588 -0.005847
12000 6.000000 -0.023175 0.022292
12100 6.050000 -0.021383 0.048976
12200 6.100000 -0.018330 0.072502
12300 6.150000 -0.014210 0.091444
12400 6.200000 -0.009280 0.104761
12500 6.250000 -0.003838 0.111838
12600 6.300000 0.001797 0.112492
12700 6.350000 0.007307 0.106924
12800 6.400000 0.012394 0.095657
12900 6.450000 0.016791 0.079466
13000 6.500000 0.020274 0.059304
13100 6.550000 0.022673 0.036250
13200 6.600000 0.023870 0.011456
13300 6.650000 0.023810 -0.013882
13400 6.700000 0.022493 -0.038560
13500 6.750000 0.019984 -0.061386
13600 6.800000 0.016405 -0.081211
13700 6.850000 0.011931 -0.096968
13800 6.900000 0.006791 -0.107717
13900 6.950000 0.001256 -0.112705
14000 7.000000 -0.004375 -0.111437
14100 7.050000 -0.009781 -0.103745
14200 7.100000 -0.014646 -0.089854
14300 7.150000 -0.018674 -0.070419
14400 7.200000 -0.021613 -0.046523
14500 7.250000 -0.023276 -0.019621
14600 7.300000 -0.023554 0.008562
14700 7.350000 -0.022429 0.036184
14800 7.400000 -0.019974 0.061457
14900 7.450000 -0.016349 0.082803
15000 7.500000 -0.011781 0.098982
15100 7.550000 -0.006551 0.109168
15200 7.600000 -0.000970 0.112970
15300 7.650000 0.004640 0.110405
15400 7.700000 0.009970 0.101850
15500 7.750000 0.014736 0.087965
15600 7.800000 0.018692 0.069622
15700 7.850000 0.021641 0.047846
15800 7.900000 0.023438 0.023758
15900 7.950000 0.023998 -0.001464
16000 8.000000 0.023293 -0.026617
16100 8.050000 0.021357 -0.050498
16200 8.100000 0.018284 -0.071933
16300 8.150000 0.014223 -0.089812
16400 8.200000 0.009379 -0.103124
16500 8.250000 0.004001 -0.111017
16600 8.300000 -0.001622 -0.112860
16700 8.350000 -0.007178 -0.108315
16800 8.400000 -0.012347 -0.097410
16900 8.450000 -0.016820 -0.080584
17000 8.500000 -0.020321 -0.058715
17100 8.550000 -0.022629 -0.033085
17200 8.600000 -0.023594 -0.005304
17300 8.650000 -0.023153 0.022824
17400 8.700000 -0.021336 0.049463
17500 8.750000 -0.018260 0.072913
17600 8.800000 -0.014122 0.091756
17700 8.850000 -0.009179 0.104957
17800 8.900000 -0.003730 0.111911
17900 8.950000 0.001905 0.112442
18000 9.000000 0.007410 0.106759
18100 9.050000 0.012486 0.095389
18200 9.100000 0.016867 0.079112
18300 9.150000 0.020331 0.058885
18400 9.200000 0.022708 0.035786
18500 9.250000 0.023881 0.010970
18600 9.300000 0.023796 -0.014367
18700 9.350000 0.022456 -0.039020
18800 9.400000 0.019925 -0.061799
18900 9.450000 0.016326 -0.081556
19000 9.500000 0.011838 -0.097225
19100 9.550000 0.006688 -0.107869
19200 9.600000 0.001147 -0.112741
19300 9.650000 -0.004482 -0.111350
19400 9.700000 -0.009880 -0.103535
19500 9.750000 -0.014732 -0.089530
19600 9.800000 -0.018741 -0.069998
19700 9.850000 -0.021657 -0.046029
19800 9.900000 -0.023294 -0.019085
19900 9.950000 -0.023545 0.009104
20000 10.000000 -0.022394 0.036698
20100 10.050000 -0.019915 0.061909
20200 10.100000 -0.016269 0.083166
20300 10.150000 -0.011685 0.099237
20400 10.200000 -0.006446 0.109302
20500 10.250000 -0.000862 0.112980
20600 10.300000 0.004746 0.110296
20700 10.350000 0.010068 0.101631
20800 10.400000 0.014821 0.087651
20900 10.450000 0.018759 0.069232
21000 10.500000 0.021687 0.047401
21100 10.550000 0.023461 0.023279
21200 10.600000 0.023996 -0.001953
21300 10.650000 0.023267 -0.027092
21400 10.700000 0.021309 -0.050936
