targetTemperature volume pressure temperature
50.000000 14191.306313 0.085575 51.375733
50.000000 15137.393400 0.048850 51.646205
50.000000 16083.480488 0.047497 51.981232
50.000000 17029.567575 0.036636 46.833635
50.000000 17975.654663 0.026960 50.839905
50.000000 18921.741750 0.031357 51.251961
50.000000 19867.828838 0.027336 47.829616
50.000000 20813.915925 0.018396 52.553935
50.000000 21760.003013 0.016213 49.272764
50.000000 22706.090100 0.019640 49.951249
50.000000 23652.177188 0.015991 48.907246
50.000000 24598.264275 0.016000 48.779916
50.000000 25544.351363 0.017329 51.905228
50.000000 26490.438450 0.014244 50.672506
50.000000 27436.525538 0.013831 50.755728
50.000000 28382.612625 0.013874 51.196089
50.000000 29328.699713 0.012831 49.867057
50.000000 30274.786800 0.012030 49.252779
50.000000 31220.873888 0.010164 48.237676
50.000000 32166.960975 0.011327 49.980500
50.000000 33113.048063 0.009853 46.481398
50.000000 34059.135150 0.010097 49.643087
50.000000 35005.222238 0.009244 52.992618
50.000000 35951.309325 0.010236 48.020736
50.000000 36897.396413 0.008201 48.910059
50.000000 37843.483500 0.009124 52.117477
50.000000 38789.570588 0.010805 51.315702
50.000000 39735.657675 0.008372 47.126859
50.000000 40681.744763 0.006630 49.664109
50.000000 41627.831850 0.008154 44.861552
50.000000 42573.918938 0.005926 47.458639
50.000000 43520.006025 0.006168 46.308191
50.000000 44466.093112 0.006387 47.646366
50.000000 45412.180200 0.008143 48.865601
50.000000 46358.267287 0.007247 46.077953
50.000000 47304.354375 0.005452 46.320058
50.000000 48250.441463 0.005999 47.576323
50.000000 49196.528550 0.005408 46.484390
50.000000 50142.615637 0.005029 43.869585
50.000000 51088.702725 0.006303 50.035123
50.000000 52034.789812 0.004773 46.664221
50.000000 52980.876900 0.004740 44.865051
50.000000 53926.963987 0.005764 48.104420
50.000000 54873.051075 0.004888 46.372858
50.000000 55819.138162 0.005362 46.775884
50.000000 56765.225250 0.004471 46.795583
50.000000 57711.312337 0.004110 44.509760
50.000000 58657.399425 0.003957 43.332908
50.000000 59603.486512 0.005244 49.645102
50.000000 60549.573600 0.004955 45.359685
