targetTemperature volume pressure temperature
100.000000 66226.096125 0.011993 100.040206
100.000000 75686.967000 0.009826 99.722683
100.000000 85147.837875 0.008944 99.877287
100.000000 94608.708750 0.007814 100.007091
100.000000 104069.579625 0.007081 100.018148
100.000000 113530.450500 0.006396 100.005523
100.000000 122991.321375 0.006033 99.996706
300.000000 66226.096125 0.037385 299.739058
300.000000 75686.967000 0.032806 299.633625
300.000000 85147.837875 0.028418 300.137460
300.000000 94608.708750 0.025233 299.637370
300.000000 104069.579625 0.022632 300.216098
300.000000 113530.450500 0.020415 300.041107
300.000000 122991.321375 0.018529 300.164222
500.000000 66226.096125 0.063771 499.706959
500.000000 75686.967000 0.054553 500.430948
500.000000 85147.837875 0.047748 500.377891
500.000000 94608.708750 0.041230 499.924703
500.000000 104069.579625 0.037604 499.857100
500.000000 113530.450500 0.033968 500.174472
500.000000 122991.321375 0.030953 500.420820
700.000000 66226.096125 0.088839 699.349200
700.000000 75686.967000 0.075606 700.352372
700.000000 85147.837875 0.067036 700.079249
700.000000 94608.708750 0.058351 700.366360
700.000000 104069.579625 0.052093 700.310742
700.000000 113530.450500 0.047620 700.370933
700.000000 122991.321375 0.043974 700.114959
900.000000 66226.096125 0.113408 899.652292
900.000000 75686.967000 0.097853 900.606032
900.000000 85147.837875 0.084401 900.044520
900.000000 94608.708750 0.074872 898.903538
900.000000 104069.579625 0.067972 899.647472
900.000000 113530.450500 0.061098 899.471659
900.000000 122991.321375 0.056543 899.571100
