velocity_x speed
1.295557 1.693528
-2.002202 3.350763
1.009089 1.624470
-1.297351 1.629282
2.590645 2.733920
0.179644 1.580173
0.063123 1.540890
-0.081010 2.123182
0.181227 0.223536
0.371841 1.889268
0.588942 1.291658
-0.282300 1.422756
0.462392 0.664846
0.308084 2.284000
0.931182 1.539281
-0.971526 1.915983
1.791531 2.536236
0.575344 1.081672
-0.808153 1.364170
0.971335 1.262082
0.045838 0.544960
0.418394 2.757129
2.598150 2.630770
0.237422 1.596749
2.439829 2.621894
0.717569 1.740206
-0.750618 1.579271
-2.038890 2.254961
0.774919 2.175292
0.726100 2.484876
0.672181 1.101750
1.646951 2.365440
1.390206 1.699308
0.926086 1.019152
0.325227 2.035769
1.135723 1.722168
1.145650 2.257053
-0.861637 1.177269
1.656227 1.690231
-0.882941 1.585073
-0.041880 1.218933
2.916768 3.130164
-0.004780 1.120255
0.891034 1.007931
-1.266648 1.741209
-1.044730 1.098621
0.652897 1.069939
1.027223 2.122572
1.343955 2.463046
0.815114 1.205322
-0.721590 2.086257
-1.507048 1.557870
2.133649 3.776712
1.380786 1.438774
2.768224 3.449951
-0.119552 1.065117
-0.613526 1.048216
0.470689 1.730499
-0.841350 2.023751
-2.123652 2.645071
0.040166 2.018207
-1.493019 1.646230
1.313686 1.984904
0.540072 1.655413
-0.492285 2.517982
-1.026280 1.656429
0.407973 1.333011
-1.430732 2.037882
1.256735 1.266755
-0.369444 1.588849
1.159815 1.588379
-1.728521 1.771742
0.963287 2.294836
0.149341 2.217320
1.483969 1.893401
1.384810 3.078462
-1.717884 3.051887
-0.009909 2.139263
0.238040 1.995477
0.389464 2.968792
0.745319 1.919547
0.481376 3.085999
0.547625 0.736915
-1.520090 2.600503
1.951452 2.150159
0.605073 1.597982
0.112347 1.378328
0.492775 1.246353
0.228660 1.170979
0.510149 0.967320
0.205648 2.970780
-0.211818 0.692493
0.839850 1.648598
1.410050 1.699937
0.710641 1.687533
1.200640 1.347293
-0.458405 0.542092
0.364263 3.128009
0.863168 1.806111
0.653395 2.053544
1.592609 2.200934
-0.879107 2.011946
-1.432551 1.750110
-0.924900 1.389017
-1.616141 2.025095
1.554583 2.240253
-0.313847 1.805263
-0.176173 0.663761
-0.178182 1.454672
0.253474 2.157096
1.337176 1.603264
-1.025700 2.631052
-0.177271 0.773523
-0.538946 2.168572
-1.238971 1.738968
-1.951883 2.526039
1.451090 2.069722
1.420883 1.458552
1.624078 1.664465
1.679995 2.017374
-1.194596 1.262788
-1.054474 2.079485
-0.885421 1.428805
1.708904 2.373055
0.843086 1.545867
-1.136285 1.263214
0.271909 1.737257
-0.813952 1.333612
0.887688 3.138299
-1.775450 2.661554
-0.074492 0.984006
1.247554 1.355312
0.693647 0.884317
1.372020 2.913271
2.071735 2.191043
2.134691 2.909029
0.614256 0.670677
-1.276172 1.513138
-0.372773 0.433811
-0.530731 3.408427
-0.596424 1.767672
-0.914189 2.887908
0.341348 1.392041
-0.227282 1.045187
0.863018 1.922651
0.672961 2.430274
-0.238564 1.220785
-0.941874 1.626124
0.446072 2.094697
-0.300671 2.612402
-0.139783 1.608787
0.820559 2.013543
0.021427 1.086737
-1.322277 2.505580
-1.442965 1.983621
-1.497362 2.481938
0.179077 2.459954
1.983242 2.425909
-1.047195 3.398697
1.241417 1.932044
0.206192 1.584901
0.214910 0.457865
1.728353 1.988439
0.890505 1.792071
0.561488 1.928660
-1.236040 2.290107
0.426099 2.203214
0.564663 3.218442
-1.911740 2.982620
0.450109 0.858826
-0.884692 2.195852
2.528072 3.031493
0.631133 1.618278
-0.188607 2.501049
-0.612567 1.183712
2.421835 3.666158
2.054326 3.691911
0.833734 1.577001
0.288006 1.966874
-2.835155 3.099946
0.715756 0.962318
1.820078 3.059229
0.748875 2.360306
-0.372219 0.760789
1.816022 3.802602
-0.118994 2.014728
0.426817 2.665747
-2.391872 2.484196
2.435355 3.556690
-0.806422 1.312153
0.259775 4.015484
1.134052 1.756523
