step time temperature
0 0.000000 100.948904
100 0.010000 94.681304
200 0.020000 77.078555
300 0.030000 50.857695
400 0.040000 25.371156
500 0.050000 13.428653
600 0.060000 18.089532
700 0.070000 31.961531
800 0.080000 47.735413
900 0.090000 61.421699
1000 0.100000 69.903775
1100 0.110000 71.565098
1200 0.120000 67.007090
1300 0.130000 58.862253
1400 0.140000 50.935834
1500 0.150000 46.477598
1600 0.160000 46.369623
1700 0.170000 49.090619
1800 0.180000 52.142748
1900 0.190000 53.590049
2000 0.200000 52.809786
2100 0.210000 50.492781
2200 0.220000 48.336249
2300 0.230000 48.299494
2400 0.240000 51.221001
2500 0.250000 55.920794
2600 0.260000 60.192960
2700 0.270000 62.171454
2800 0.280000 60.869463
2900 0.290000 56.594264
3000 0.300000 50.769962
3100 0.310000 45.563599
3200 0.320000 43.246063
3300 0.330000 44.774916
3400 0.340000 49.079725
3500 0.350000 54.179765
3600 0.360000 58.341684
3700 0.370000 60.399969
3800 0.380000 59.777401
3900 0.390000 56.872284
4000 0.400000 53.189904
4100 0.410000 64.656297
4200 0.420000 99.759727
4300 0.430000 182.445434
4400 0.440000 352.591778
4500 0.450000 587.454692
4600 0.460000 647.095718
4700 0.470000 471.228292
4800 0.480000 361.307611
4900 0.490000 387.780077
5000 0.500000 420.671115
5100 0.510000 385.505810
5200 0.520000 318.401292
5300 0.530000 265.940328
5400 0.540000 236.151090
5500 0.550000 220.083353
5600 0.560000 212.690556
5700 0.570000 212.330989
5800 0.580000 217.512088
5900 0.590000 226.403987
6000 0.600000 237.942182
6100 0.610000 251.773010
6200 0.620000 268.422260
6300 0.630000 287.767285
6400 0.640000 310.170886
6500 0.650000 335.647401
6600 0.660000 357.679710
6700 0.670000 363.715532
6800 0.680000 355.536865
6900 0.690000 347.528904
7000 0.700000 344.821306
7100 0.710000 339.838092
7200 0.720000 329.186946
7300 0.730000 314.249474
7400 0.740000 295.224301
7500 0.750000 274.775702
7600 0.760000 259.411321
7700 0.770000 253.136497
7800 0.780000 255.798876
7900 0.790000 264.655261
8000 0.800000 275.740686
8100 0.810000 287.278449
8200 0.820000 297.698832
8300 0.830000 306.751773
8400 0.840000 316.275092
8500 0.850000 325.686573
8600 0.860000 328.301209
8700 0.870000 318.643887
8800 0.880000 300.783647
8900 0.890000 284.190885
9000 0.900000 276.174320
9100 0.910000 278.485917
9200 0.920000 287.623740
9300 0.930000 297.308138
9400 0.940000 304.300884
9500 0.950000 307.762325
9600 0.960000 307.544096
9700 0.970000 307.192558
9800 0.980000 311.003471
9900 0.990000 317.016780
10000 1.000000 320.772302
