step time temperature
0 0.000000 100.948904
100 0.010000 94.681304
200 0.020000 77.078555
300 0.030000 50.857695
400 0.040000 25.371156
500 0.050000 13.428653
600 0.060000 18.089532
700 0.070000 31.961531
800 0.080000 47.735413
900 0.090000 61.421699
1000 0.100000 69.903775
1100 0.110000 71.565098
1200 0.120000 67.007090
1300 0.130000 58.862253
1400 0.140000 50.935834
1500 0.150000 46.477598
1600 0.160000 46.369623
1700 0.170000 49.090619
1800 0.180000 52.142748
1900 0.190000 53.590049
2000 0.200000 52.809786
2100 0.210000 50.492781
2200 0.220000 48.336249
2300 0.230000 48.299494
2400 0.240000 51.221001
2500 0.250000 55.920794
2600 0.260000 60.192960
2700 0.270000 62.171454
2800 0.280000 60.869463
2900 0.290000 56.594264
3000 0.300000 50.769962
3100 0.310000 45.563599
3200 0.320000 43.246063
3300 0.330000 44.774916
3400 0.340000 49.079725
3500 0.350000 54.179765
3600 0.360000 58.341684
3700 0.370000 60.399969
3800 0.380000 59.777401
3900 0.390000 56.872284
4000 0.400000 53.189904
4100 0.410000 272.191286
4200 0.420000 233.463299
4300 0.430000 209.525228
4400 0.440000 219.870399
4500 0.450000 254.301857
4600 0.460000 281.860046
4700 0.470000 296.254410
4800 0.480000 309.279211
4900 0.490000 323.089037
5000 0.500000 332.201572
5100 0.510000 333.616770
5200 0.520000 333.016041
5300 0.530000 330.096268
5400 0.540000 320.664014
5500 0.550000 308.580815
5600 0.560000 297.644080
5700 0.570000 286.841026
5800 0.580000 278.469273
5900 0.590000 277.378126
6000 0.600000 284.599715
6100 0.610000 290.231478
6200 0.620000 290.509052
6300 0.630000 294.767068
6400 0.640000 304.995498
6500 0.650000 311.843147
6600 0.660000 315.091592
6700 0.670000 316.452478
6800 0.680000 312.956552
6900 0.690000 304.186394
7000 0.700000 297.152234
7100 0.710000 295.564833
7200 0.720000 296.159078
7300 0.730000 297.161392
7400 0.740000 297.837605
7500 0.750000 296.247446
7600 0.760000 294.321287
7700 0.770000 294.803693
7800 0.780000 295.604960
7900 0.790000 297.270174
8000 0.800000 300.464656
8100 0.810000 306.820556
8200 0.820000 309.610954
8300 0.830000 308.687485
8400 0.840000 307.760056
8500 0.850000 304.794061
8600 0.860000 300.140178
8700 0.870000 298.137231
8800 0.880000 296.432995
8900 0.890000 293.408873
9000 0.900000 292.134162
9100 0.910000 294.325451
9200 0.920000 296.652060
9300 0.930000 296.397611
9400 0.940000 297.233843
9500 0.950000 300.678486
9600 0.960000 303.884259
9700 0.970000 305.327707
9800 0.980000 305.062520
9900 0.990000 303.992649
10000 1.000000 300.838000
