velocity_x speed
-0.541500 0.598537
-1.758176 2.600499
-0.226216 1.822440
0.775055 2.692744
0.714836 1.346214
0.244348 1.259120
-1.110340 3.005246
-1.097039 2.940198
1.343303 2.988761
0.104951 1.437427
-0.132973 0.850459
1.088343 1.939346
-0.653693 0.953034
1.671140 1.959729
-0.285522 0.502677
-1.091565 2.752333
0.090793 0.967016
0.202667 0.326838
0.640174 2.605773
-2.801607 2.805687
1.678199 2.182876
0.614163 1.668519
0.396536 0.682833
3.414919 3.858449
-1.577214 2.123359
0.060058 0.616639
-1.048338 1.577430
0.013293 0.426911
0.202274 2.142339
-1.780979 2.260374
0.990333 2.271123
0.071088 1.133308
0.394697 1.275555
-0.671346 1.250162
-0.436198 0.513816
1.114433 1.956617
-1.574734 1.892381
-0.198224 0.702380
-0.351258 2.203254
0.244889 0.815487
1.500110 1.962212
-0.627647 1.106863
-0.866299 1.573257
0.379101 1.824498
1.589304 1.939151
-0.064893 2.515111
-0.394573 1.512045
0.768324 1.407409
-0.560273 1.215275
0.355370 2.101234
-2.714180 3.427650
-1.854730 2.165716
2.678600 2.850938
-2.031676 2.479807
1.375214 1.915065
-0.938835 2.561929
0.224420 0.360863
1.205915 1.726992
0.338887 1.661925
-1.117076 2.599040
-1.501929 2.092982
-1.195819 1.648871
-0.374943 1.361494
-0.712885 1.336526
2.209438 2.911855
-0.895234 4.383814
-1.169084 1.260975
-2.240357 2.289632
1.779989 2.217052
0.064681 1.670362
-1.182012 1.585834
1.191626 1.692462
-2.429100 2.806029
-1.055337 2.754671
-0.670111 1.407244
2.477048 2.662874
-0.883453 2.093845
-2.009422 2.884968
-1.414703 1.887619
-0.902881 1.909755
0.514849 1.344417
-2.572062 3.154027
3.169312 3.786389
0.391366 0.813768
-0.204331 0.552295
0.641493 0.881025
0.383223 1.877418
0.395096 1.939865
-0.401859 1.773612
-2.747027 4.195359
-0.461170 1.736477
-0.201392 0.434233
1.127705 2.190107
1.119403 2.733881
0.586887 1.756385
0.143397 1.815202
-0.252380 2.138840
-0.626422 0.812631
0.118182 2.039949
-0.865016 1.155040
-2.652431 2.921210
2.879519 4.770692
-0.732692 2.566184
0.447899 0.865555
2.465797 2.486367
0.825571 1.020184
0.310559 0.709775
-0.151474 2.141702
-0.603871 1.543511
0.805418 2.394777
1.774991 2.072522
1.665059 3.452553
0.377454 1.851857
-2.215153 3.232291
2.621894 2.708327
-1.318868 1.736570
0.083205 1.439922
-0.577870 1.277882
-1.202511 1.728262
1.430366 1.822936
1.398860 1.481522
-0.491075 2.173341
-0.770568 1.050708
0.821909 2.033665
0.274853 1.766958
0.875788 1.741699
-1.057807 1.521714
-0.482910 1.534868
-1.728270 2.315929
0.494809 0.980371
3.239630 3.332094
2.087996 2.687325
0.682051 0.955882
-0.463369 1.955753
-0.920184 1.723162
-0.935954 1.887579
-1.202109 2.216537
-0.284169 1.664803
1.021398 2.300109
0.724525 2.133213
0.287108 4.022617
0.403667 2.680327
-1.508498 3.031048
-1.062957 1.889835
1.863952 2.334462
-0.492900 0.997400
-0.555218 0.809681
-1.007862 4.013395
-0.229707 0.407159
1.617223 3.382982
2.030338 2.906579
1.531052 2.185390
0.830972 1.938276
-0.967827 2.218165
-0.394940 1.333361
0.357336 1.053823
1.934464 3.189626
0.566492 2.346920
0.025055 2.595045
-0.895424 2.634278
-0.357644 2.129203
-0.600688 0.844401
0.978554 1.727749
0.522302 1.296102
-0.725312 1.422428
-0.324386 2.449732
-0.693813 1.573938
1.900879 2.329743
-0.503147 0.713051
2.925225 3.878293
-1.076336 2.199853
-1.588955 3.087448
1.901818 2.743357
0.230298 2.219843
-1.117099 2.005259
-0.520670 0.990300
-1.708228 3.263629
-1.407625 1.785578
-1.042732 1.973050
-0.909878 1.969021
0.625228 3.619873
0.888192 2.324708
-0.106564 0.313648
0.910089 2.003702
1.730501 2.043032
-1.020355 1.353099
1.064161 3.278655
-2.904704 4.315062
-0.018704 0.820196
0.366596 2.017314
1.786092 2.099747
-0.894444 2.424713
0.088839 1.746767
-1.078624 3.157642
-0.651118 1.483710
1.744964 3.375431
-1.089850 1.572711
0.292948 0.893239
1.253272 2.352617
2.832008 3.413161
-0.947467 1.378953
1.678060 1.712733
-0.287540 0.739852
-0.694505 2.690786
-1.213341 2.021507
0.223216 2.678683
0.792201 2.471125
-0.372478 0.427695
-0.790299 2.435655
0.800246 1.379319
-0.916653 1.750763
0.099115 3.523603
1.993230 2.336751
-2.939232 3.399795
1.021910 1.509815
0.335401 0.863877
1.593441 2.972798
0.280961 1.569536
1.094953 2.596379
-1.668774 2.307094
0.937651 1.106407
1.232994 1.858007
1.141595 2.223709
1.579899 1.695582
-3.219818 3.933372
-0.247884 3.085168
-1.158534 2.557512
-0.999002 3.380756
0.973719 1.574270
-0.978399 2.318648
-0.627288 1.465062
1.006133 1.293972
-1.541632 2.803760
-0.141158 0.864408
-2.163719 2.629733
-0.297245 0.767655
-0.066651 2.201313
-0.326066 2.200736
-1.163278 1.755894
-0.106061 1.084228
-0.904438 3.045216
-1.725636 3.701994
1.082312 2.324462
-1.360531 1.777472
3.126830 4.822591
-2.491202 2.849208
1.274829 1.627740
-2.361847 2.603434
-0.673577 1.402536
-1.874858 3.165481
1.044607 1.728546
-0.896718 1.802778
1.577689 2.816773
-0.851202 1.255531
-0.921784 2.391647
0.359589 2.134226
2.043167 2.692392
0.230787 0.893348
0.345446 2.781040
0.845087 2.020697
0.032016 0.763598
1.085427 1.999921
0.536654 2.115140
0.638054 1.945597
1.554630 2.198157
-0.831293 2.762747
-0.604088 1.169272
2.281220 2.416818
-1.247324 2.647651
-0.535246 0.741490
-1.601976 2.812956
-0.626462 2.851678
-1.250248 2.346566
-0.928256 1.669418
-0.827582 0.877869
1.443601 1.869271
0.660426 2.565578
1.082114 1.870732
2.702384 3.750967
0.519331 1.443757
-0.466069 1.192547
-0.197588 2.177870
0.699528 2.150987
-1.003748 1.951264
0.307260 1.271667
-1.102432 1.692438
-0.177217 1.997290
-0.257407 2.542275
0.475664 1.666410
-0.164492 0.468558
-0.101108 1.245654
-1.308363 2.051809
0.896384 1.716221
-0.771207 1.003574
-0.781924 2.518734
0.479956 2.246670
-1.056902 1.433202
-0.477594 2.251907
-0.026416 3.137360
0.338524 0.867738
-1.161259 1.469453
1.794591 2.758215
-0.473302 1.326083
-0.504954 1.210679
1.209759 2.737175
-0.759508 1.987611
1.249003 2.817312
-2.115990 4.935680
-1.422979 2.028381
0.683616 2.775879
0.288576 0.962624
-0.174680 1.631112
-1.170676 2.459827
-0.982252 1.291006
0.407145 1.722888
0.335710 2.318116
-1.434139 2.075478
-0.980213 3.580862
-0.825894 2.649692
-0.627783 2.948711
-0.159615 0.536985
-0.972535 2.253239
2.873455 3.266301
-0.465255 1.169873
-1.092227 2.773388
1.935260 2.907838
0.834983 0.841124
0.924647 1.860923
-0.757921 1.140430
-0.103794 2.314627
-2.003527 2.696522
