targetTemperature volume pressure temperature
100.000000 66226.096125 0.011463 100.029300
100.000000 75686.967000 0.009956 100.045682
100.000000 85147.837875 0.008756 99.951379
100.000000 94608.708750 0.007825 99.901797
100.000000 104069.579625 0.007234 100.033002
100.000000 113530.450500 0.006397 99.980234
100.000000 122991.321375 0.005878 100.013175
300.000000 66226.096125 0.038464 299.618417
300.000000 75686.967000 0.032729 299.586261
300.000000 85147.837875 0.028496 300.476738
300.000000 94608.708750 0.025043 299.964335
300.000000 104069.579625 0.022362 300.100619
300.000000 113530.450500 0.020223 299.488610
300.000000 122991.321375 0.018572 300.429900
500.000000 66226.096125 0.064690 500.075211
500.000000 75686.967000 0.055254 500.200145
500.000000 85147.837875 0.047402 500.847948
500.000000 94608.708750 0.042309 500.806197
500.000000 104069.579625 0.037656 500.600356
500.000000 113530.450500 0.034422 499.815527
500.000000 122991.321375 0.031362 499.753136
700.000000 66226.096125 0.089662 700.590958
700.000000 75686.967000 0.076307 699.861033
700.000000 85147.837875 0.066241 700.804657
700.000000 94608.708750 0.058657 699.373382
700.000000 104069.579625 0.052451 700.074961
700.000000 113530.450500 0.047529 699.887408
700.000000 122991.321375 0.043912 700.534016
900.000000 66226.096125 0.114174 898.951389
900.000000 75686.967000 0.097725 900.402484
900.000000 85147.837875 0.085746 899.792147
900.000000 94608.708750 0.074313 900.196767
900.000000 104069.579625 0.067777 900.096138
900.000000 113530.450500 0.061314 900.128699
900.000000 122991.321375 0.055973 899.172824
